,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,country,geometry,substation_lv
0,0,0,154000,False,substation,False,transmission,0.0,32.8188,39.8051,TR,POINT (32.8188 39.8051),True
1,1,0,380000,False,substation,False,transmission,0.0,32.8198,39.8061,TR,POINT (32.8198 39.8061),False
2,2,0,400000,False,substation,False,transmission,0.0,32.8208,39.8071,TR,POINT (32.8208 39.8071),False
3,3,1,154000,False,substation,False,transmission,0.0,30.7045,36.9568,TR,POINT (30.7045 36.9568),True
4,4,1,380000,False,substation,False,transmission,0.0,30.7055,36.9578,TR,POINT (30.7055 36.9578),False
5,5,1,400000,False,substation,False,transmission,0.0,30.7065,36.9588,TR,POINT (30.7065 36.9588),False
6,6,2,154000,False,substation,False,transmission,0.0,28.6736,41.0607,TR,POINT (28.6736 41.0607),True
7,7,2,380000,False,substation,False,transmission,0.0,28.6746,41.0617,TR,POINT (28.6746 41.0617),False
8,8,3,154000,False,substation,False,transmission,0.0,32.4683,37.8614,TR,POINT (32.4683 37.8614),True
9,9,4,154000,False,substation,False,transmission,0.0,27.8723,39.643,TR,POINT (27.8723 39.643),True
10,10,5,154000,False,substation,False,transmission,0.0,26.6239,41.6602,TR,POINT (26.6239 41.6602),True
11,11,6,380000,False,substation,False,transmission,0.0,36.9115,38.3538,TR,POINT (36.9115 38.3538),True
12,12,6,400000,False,substation,False,transmission,0.0,36.9125,38.3548,TR,POINT (36.9125 38.3548),False
13,13,7,154000,False,substation,False,transmission,0.0,36.3598,37.5964,TR,POINT (36.3598 37.5964),True
14,14,7,380000,False,substation,False,transmission,0.0,36.3608,37.5974,TR,POINT (36.3608 37.5974),False
15,15,7,400000,False,substation,False,transmission,0.0,36.3618,37.5984,TR,POINT (36.3618 37.5984),False
16,16,8,66000,False,substation,False,transmission,0.0,35.4452,36.9764,TR,POINT (35.4452 36.9764),True
17,17,8,154000,False,substation,False,transmission,0.0,35.4462,36.9774,TR,POINT (35.4462 36.9774),False
18,18,9,154000,False,substation,False,transmission,0.0,32.1716,39.5867,TR,POINT (32.1716 39.5867),True
19,19,10,154000,False,substation,False,transmission,0.0,41.1473,37.8576,TR,POINT (41.1473 37.8576),True
20,20,10,380000,False,substation,False,transmission,0.0,41.1483,37.8586,TR,POINT (41.1483 37.8586),False
21,21,11,154000,False,substation,False,transmission,0.0,42.4082,37.2505,TR,POINT (42.4082 37.2505),True
22,22,12,154000,False,substation,False,transmission,0.0,43.7134,37.5961,TR,POINT (43.7134 37.5961),True
23,23,13,154000,False,substation,False,transmission,0.0,32.8153,40.0498,TR,POINT (32.8153 40.0498),True
24,24,13,380000,False,substation,False,transmission,0.0,32.8163,40.0508,TR,POINT (32.8163 40.0508),False
25,25,13,400000,False,substation,False,transmission,0.0,32.8173,40.0518,TR,POINT (32.8173 40.0518),False
26,26,14,154000,False,substation,False,transmission,0.0,32.4973,37.9548,TR,POINT (32.4973 37.9548),True
27,27,15,154000,False,substation,False,transmission,0.0,29.3259,40.6544,TR,POINT (29.3259 40.6544),True
28,28,16,154000,False,substation,False,transmission,0.0,28.9371,41.1037,TR,POINT (28.9371 41.1037),True
29,29,16,380000,False,substation,False,transmission,0.0,28.9381,41.1047,TR,POINT (28.9381 41.1047),False
30,30,16,400000,False,substation,False,transmission,0.0,28.9391,41.1057,TR,POINT (28.9391 41.1057),False
