,line_id,bus0,bus1,geometry
2290,transf_0_0,0,1,"LINESTRING (32.8188 39.8051, 32.8198 39.8061)"
2291,transf_0_1,1,2,"LINESTRING (32.8198 39.8061, 32.8208 39.8071)"
2292,transf_1_0,3,4,"LINESTRING (30.7045 36.9568, 30.7055 36.9578)"
2293,transf_1_1,4,5,"LINESTRING (30.7055 36.9578, 30.7065 36.9588)"
2294,transf_2_0,6,7,"LINESTRING (28.6736 41.0607, 28.6746 41.0617)"
2295,transf_6_0,11,12,"LINESTRING (36.9115 38.3538, 36.9125 38.3548)"
2296,transf_7_0,13,14,"LINESTRING (36.3598 37.5964, 36.3608 37.5974)"
2297,transf_7_1,14,15,"LINESTRING (36.3608 37.5974, 36.3618 37.5984)"
2298,transf_8_0,16,17,"LINESTRING (35.4452 36.9764, 35.4462 36.9774)"
2299,transf_10_0,19,20,"LINESTRING (41.1473 37.8576, 41.1483 37.8586)"
2300,transf_13_0,23,24,"LINESTRING (32.8153 40.0498, 32.8163 40.0508)"
2301,transf_13_1,24,25,"LINESTRING (32.8163 40.0508, 32.8173 40.0518)"
2302,transf_16_0,28,29,"LINESTRING (28.9371 41.1037, 28.9381 41.1047)"
2303,transf_16_1,29,30,"LINESTRING (28.9381 41.1047, 28.9391 41.1057)"
2304,transf_18_0,32,33,"LINESTRING (30.5787 38.7831, 30.5797 38.7841)"
2305,transf_18_1,33,34,"LINESTRING (30.5797 38.7841, 30.5807 38.7851)"
2306,transf_21_0,37,38,"LINESTRING (26.6239 40.3343, 26.6249 40.3353)"
2307,transf_21_1,38,39,"LINESTRING (26.6249 40.3353, 26.6259 40.3363)"
2308,transf_24_0,42,43,"LINESTRING (27.3435 41.4809, 27.3445 41.4819)"
2309,transf_24_1,43,44,"LINESTRING (27.3445 41.4819, 27.3455 41.4829)"
2310,transf_25_0,45,46,"LINESTRING (34.0847 37.5449, 34.0857 37.5459)"
2311,transf_25_1,46,47,"LINESTRING (34.0857 37.5459, 34.0867 37.5469)"
2312,transf_28_0,50,51,"LINESTRING (35.7391 40.5717, 35.7401 40.5727)"
2313,transf_28_1,51,52,"LINESTRING (35.7401 40.5727, 35.7411 40.5737)"
2314,transf_28_2,52,53,"LINESTRING (35.7411 40.5737, 35.7421 40.5747)"
2315,transf_29_0,54,55,"LINESTRING (32.7497 37.8418, 32.7507 37.8428)"
2316,transf_29_1,55,56,"LINESTRING (32.7507 37.8428, 32.7517 37.8438)"
2317,transf_30_0,57,58,"LINESTRING (31.8612 37.4625, 31.8622 37.4635)"
2318,transf_31_0,59,60,"LINESTRING (27.9722 41.0053, 27.9732 41.0063)"
2319,transf_31_1,60,61,"LINESTRING (27.9732 41.0063, 27.9742 41.0073)"
2320,transf_33_0,63,64,"LINESTRING (31.3042 40.7824, 31.3052 40.7834)"
2321,transf_42_0,73,74,"LINESTRING (29.4543 39.6211, 29.4553 39.6221)"
2322,transf_42_1,74,75,"LINESTRING (29.4553 39.6221, 29.4563 39.6231)"
2323,transf_43_0,76,77,"LINESTRING (27.1149 41.4245, 27.1159 41.4255)"
2324,transf_43_1,77,78,"LINESTRING (27.1159 41.4255, 27.1169 41.4265)"
2325,transf_44_0,79,80,"LINESTRING (27.1245 38.3813, 27.1255 38.3823)"
2326,transf_44_1,80,81,"LINESTRING (27.1255 38.3823, 27.1265 38.3833)"
2327,transf_44_2,81,82,"LINESTRING (27.1265 38.3833, 27.1275 38.3843)"
2328,transf_47_0,85,86,"LINESTRING (28.7434 41.2188, 28.7444 41.2198)"
2329,transf_48_0,87,88,"LINESTRING (27.9657 41.2953, 27.9667 41.2963)"
2330,transf_52_0,92,93,"LINESTRING (31.7142 37.7568, 31.7152 37.7578)"
2331,transf_54_0,95,96,"LINESTRING (30.0244 40.7685, 30.0254 40.7695)"
2332,transf_54_1,96,97,"LINESTRING (30.0254 40.7695, 30.0264 40.7705)"
2333,transf_64_0,107,108,"LINESTRING (40.0819 39.1324, 40.0829 39.1334)"
2334,transf_65_0,109,110,"LINESTRING (26.7662 38.3051, 26.7672 38.3061)"
2335,transf_68_0,113,114,"LINESTRING (42.5941 37.3124, 42.5951 37.3134)"
2336,transf_68_1,114,115,"LINESTRING (42.5951 37.3134, 42.5961 37.3144)"
2337,transf_69_0,116,117,"LINESTRING (38.3062 37.464, 38.3072 37.465)"
2338,transf_69_1,117,118,"LINESTRING (38.3072 37.465, 38.3082 37.466)"
2339,transf_71_0,120,121,"LINESTRING (26.4416 38.5621, 26.4426 38.5631)"
2340,transf_72_0,122,123,"LINESTRING (38.6771 38.8143, 38.6781 38.8153)"
2341,transf_72_1,123,124,"LINESTRING (38.6781 38.8153, 38.6791 38.8163)"
2342,transf_78_0,130,131,"LINESTRING (30.4336 39.8219, 30.4346 39.8229)"
2343,transf_78_1,131,132,"LINESTRING (30.4346 39.8229, 30.4356 39.8239)"
2344,transf_79_0,133,134,"LINESTRING (29.5639 40.7995, 29.5649 40.8005)"
2345,transf_80_0,135,136,"LINESTRING (27.767 41.0998, 27.768 41.1008)"
2346,transf_80_1,136,137,"LINESTRING (27.768 41.1008, 27.769 41.1018)"
2347,transf_82_0,139,140,"LINESTRING (26.6708 40.4659, 26.6718 40.4669)"
2348,transf_82_1,140,141,"LINESTRING (26.6718 40.4669, 26.6728 40.4679)"
2349,transf_85_0,144,145,"LINESTRING (27.7436 41.2452, 27.7446 41.2462)"
2350,transf_86_0,146,147,"LINESTRING (32.7238 37.3072, 32.7248 37.3082)"
2351,transf_93_0,154,155,"LINESTRING (28.827 41.0563, 28.828 41.0573)"
2352,transf_95_0,157,158,"LINESTRING (33.4687 39.7463, 33.4697 39.7473)"
2353,transf_95_1,158,159,"LINESTRING (33.4697 39.7473, 33.4707 39.7483)"
2354,transf_97_0,161,162,"LINESTRING (29.5967 40.8559, 29.5977 40.8569)"
2355,transf_97_1,162,163,"LINESTRING (29.5977 40.8569, 29.5987 40.8579)"
2356,transf_98_0,164,165,"LINESTRING (37.1584 41.1322, 37.1594 41.1332)"
2357,transf_98_1,165,166,"LINESTRING (37.1594 41.1332, 37.1604 41.1342)"
2358,transf_99_0,167,168,"LINESTRING (32.6519 37.5187, 32.6529 37.5197)"
2359,transf_102_0,171,172,"LINESTRING (29.3639 40.2142, 29.3649 40.2152)"
2360,transf_102_1,172,173,"LINESTRING (29.3649 40.2152, 29.3659 40.2162)"
2361,transf_103_0,174,175,"LINESTRING (27.0554 40.0045, 27.0564 40.0055)"
2362,transf_104_0,176,177,"LINESTRING (26.957 38.7541, 26.958 38.7551)"
2363,transf_104_1,177,178,"LINESTRING (26.958 38.7551, 26.959 38.7561)"
2364,transf_104_2,178,179,"LINESTRING (26.959 38.7561, 26.96 38.7571)"
2365,transf_105_0,180,181,"LINESTRING (33.0531 39.9327, 33.0541 39.9337)"
2366,transf_105_1,181,182,"LINESTRING (33.0541 39.9337, 33.0551 39.9347)"
2367,transf_107_0,184,185,"LINESTRING (29.1399 40.9924, 29.1409 40.9934)"
2368,transf_111_0,189,190,"LINESTRING (28.1314 41.3651, 28.1324 41.3661)"
2369,transf_112_0,191,192,"LINESTRING (28.6672 41.1255, 28.6682 41.1265)"
2370,transf_112_1,192,193,"LINESTRING (28.6682 41.1265, 28.6692 41.1275)"
2371,transf_118_0,199,200,"LINESTRING (27.7616 41.513, 27.7626 41.514)"
2372,transf_118_1,200,201,"LINESTRING (27.7626 41.514, 27.7636 41.515)"
2373,transf_122_0,205,206,"LINESTRING (27.318 40.4201, 27.319 40.4211)"
2374,transf_132_0,216,217,"LINESTRING (28.2603 41.4304, 28.2613 41.4314)"
2375,transf_134_0,219,220,"LINESTRING (31.5675 36.7419, 31.5685 36.7429)"
2376,transf_134_1,220,221,"LINESTRING (31.5685 36.7429, 31.5695 36.7439)"
2377,transf_137_0,224,225,"LINESTRING (32.5903 38.1128, 32.5913 38.1138)"
2378,transf_137_1,225,226,"LINESTRING (32.5913 38.1138, 32.5923 38.1148)"
2379,transf_140_0,229,230,"LINESTRING (42.1441 37.3397, 42.1451 37.3407)"
2380,transf_140_1,230,231,"LINESTRING (42.1451 37.3407, 42.1461 37.3417)"
2381,transf_157_0,248,249,"LINESTRING (28.9667 40.2229, 28.9677 40.2239)"
2382,transf_160_0,252,253,"LINESTRING (29.2511 41.0006, 29.2521 41.0016)"
2383,transf_161_0,254,255,"LINESTRING (29.4044 40.8986, 29.4054 40.8996)"
2384,transf_163_0,257,258,"LINESTRING (32.5382 39.9799, 32.5392 39.9809)"
2385,transf_167_0,262,263,"LINESTRING (34.9455 38.6419, 34.9465 38.6429)"
2386,transf_168_0,264,265,"LINESTRING (31.6941 40.1009, 31.6951 40.1019)"
2387,transf_171_0,268,269,"LINESTRING (28.7655 41.1089, 28.7665 41.1099)"
2388,transf_172_0,270,271,"LINESTRING (31.542 36.8837, 31.543 36.8847)"
2389,transf_174_0,273,274,"LINESTRING (34.3882 40.5754, 34.3892 40.5764)"
2390,transf_175_0,275,276,"LINESTRING (36.6053 38.0854, 36.6063 38.0864)"
2391,transf_178_0,279,280,"LINESTRING (34.1761 40.5638, 34.1771 40.5648)"
2392,transf_179_0,281,282,"LINESTRING (37.0071 38.3547, 37.0081 38.3557)"
2393,transf_182_0,285,286,"LINESTRING (34.5791 40.593, 34.5801 40.594)"
2394,transf_187_0,291,292,"LINESTRING (29.2502 37.802, 29.2512 37.803)"
2395,transf_188_0,293,294,"LINESTRING (27.6118 37.8637, 27.6128 37.8647)"
2396,transf_189_0,295,296,"LINESTRING (40.1408 38.0227, 40.1418 38.0237)"
2397,transf_194_0,301,302,"LINESTRING (29.0631 41.1781, 29.0641 41.1791)"
2398,transf_201_0,309,310,"LINESTRING (35.6682 38.8593, 35.6692 38.8603)"
2399,transf_205_0,314,315,"LINESTRING (37.2838 37.1646, 37.2848 37.1656)"
2400,transf_207_0,317,318,"LINESTRING (36.1559 37.0056, 36.1569 37.0066)"
2401,transf_208_0,319,320,"LINESTRING (36.0633 36.9404, 36.0643 36.9414)"
2402,transf_210_0,322,323,"LINESTRING (36.2185 36.7153, 36.2195 36.7163)"
2403,transf_211_0,324,325,"LINESTRING (38.6119 37.3165, 38.6129 37.3175)"
2404,transf_212_0,326,327,"LINESTRING (38.8484 37.1835, 38.8494 37.1845)"
2405,transf_215_0,330,331,"LINESTRING (28.1027 37.3358, 28.1037 37.3368)"
2406,transf_217_0,333,334,"LINESTRING (27.9439 37.6944, 27.9449 37.6954)"
2407,transf_218_0,335,336,"LINESTRING (28.0525 37.5232, 28.0535 37.5242)"
2408,transf_221_0,339,340,"LINESTRING (29.4154 37.8432, 29.4164 37.8442)"
2409,transf_222_0,341,342,"LINESTRING (29.7059 37.6101, 29.7069 37.6111)"
2410,transf_226_0,346,347,"LINESTRING (29.0602 40.2919, 29.0612 40.2929)"
