,0
0,2
1,2
3,5
4,5
6,7
11,12
13,15
14,15
16,17
19,20
23,25
24,25
28,30
29,30
32,34
33,34
37,39
38,39
42,44
43,44
45,47
46,47
50,94
51,53
52,53
54,56
55,56
57,58
59,61
60,61
63,64
73,75
74,75
76,78
77,78
79,81
80,82
81,82
85,86
87,88
92,93
95,97
96,97
107,108
109,110
113,115
114,115
116,118
117,118
120,705
122,124
123,124
130,132
131,132
133,134
135,137
136,137
139,141
140,141
144,145
146,147
154,155
157,159
158,159
161,163
162,163
164,166
165,166
167,168
171,173
172,173
174,175
176,94
177,179
178,179
180,182
181,182
184,185
189,190
191,193
192,193
199,201
200,201
205,206
216,752
219,221
220,221
224,226
225,226
229,231
230,231
248,249
252,253
254,255
257,258
262,263
264,265
268,269
270,271
273,274
275,276
279,280
281,282
285,286
291,292
293,294
295,296
301,302
309,310
314,315
317,318
319,320
322,323
324,325
326,327
330,331
333,334
335,336
339,340
341,342
346,347
349,350
352,353
356,357
361,362
372,373
374,375
382,383
385,386
388,389
399,400
417,418
431,432
437,438
439,440
441,442
443,444
447,448
484,485
504,505
507,508
511,512
523,524
525,526
533,534
537,538
539,540
549,550
584,585
591,592
594,595
600,601
604,605
626,627
633,634
641,642
643,644
645,646
654,655
656,657
661,662
666,667
668,669
696,697
704,705
706,707
708,709
713,714
719,720
723,724
728,729
777,778
788,789
791,792
800,801
804,805
820,821
822,823
830,831
836,837
838,839
847,848
849,850
854,855
856,857
858,859
860,861
864,865
866,867
876,877
880,881
883,884
892,893
926,927
936,937
944,945
946,947
954,955
964,966
965,966
976,977
1009,1010
1025,1026
1064,1065
1070,1071
1072,1073
1090,1091
1092,1094
1093,1094
1096,1097
1110,1111
1122,1123
1127,1128
1156,1157
1159,1160
1161,1162
1165,1166
1169,1170
1214,1215
1243,1244
1294,1295
1297,1109
1311,1312
1316,1317
1333,1334
1352,1353
1356,1357
1363,1364
1387,726
1397,1398
1420,1421
1423,1425
1424,1425
1426,1427
1436,1437
1440,1109
1441,1109
1444,1445
1451,1452
1454,1455
1457,1458
1469,1470
1474,1475
1496,1497
1510,1511
1521,1522
1563,1564
1574,1575
1592,646
1607,94
1614,1615
1646,1647
1653,1654
1778,253
1833,1834
10,10
100,680
1000,1000
1001,1001
1002,1002
1003,
1004,
1005,2
1006,2
1007,1007
1008,1008
101,101
1010,1010
1011,1010
1012,1012
1013,1013
1014,1014
1015,1015
1016,1016
1017,1017
1018,1018
1019,1019
102,102
1020,1020
1021,
1022,1022
1023,1023
1024,1024
1026,1026
1027,1027
1028,1028
1029,368
103,103
1030,1030
1031,1031
1032,1549
1033,1033
1034,951
1035,1030
1036,951
1037,1037
1038,1038
1039,1039
104,175
1040,94
1041,
1042,1042
1043,1043
1044,1044
1045,1615
1046,1046
1047,705
1048,1048
1049,1049
105,650
1050,1050
1051,1051
1052,1052
1053,1053
1054,612
1055,1055
1056,1056
1057,1057
1058,1714
1059,524
106,106
1060,524
1061,1061
1062,1062
1063,1063
1065,1065
1066,1066
1067,1067
1068,1068
1069,1069
1071,1071
1073,1073
1074,1074
1075,1075
1076,1076
1077,831
1078,362
1079,1079
108,108
1080,175
1081,1081
1082,1082
1083,1083
1084,1084
1085,1085
1086,1091
1087,1087
1088,1088
1089,1089
1091,1091
1094,1094
1095,1095
1097,1097
1098,1098
1099,1099
110,110
1100,1100
1101,1101
1102,1102
1103,1103
1104,1104
1105,1105
1106,1106
1107,1107
1108,1108
1109,1109
111,368
1111,1111
1112,1112
1113,1617
1114,1615
1115,1115
1116,669
1117,1117
1118,1118
1119,1119
112,175
1120,1120
1121,1121
1123,1123
1124,1124
1125,1125
1126,1126
1128,1128
1129,1129
1130,1130
1131,1131
1132,1132
1133,1133
1134,1134
1135,971
1136,1136
1137,67
1138,1138
1139,1138
1140,1140
1141,1567
1142,1142
1143,1019
1144,1144
1145,1809
1146,1146
1147,1147
1148,1148
1149,1149
115,115
1150,1727
1151,1151
1152,1152
1153,1153
1154,1812
1155,1094
1157,1157
1158,1158
1160,1160
1162,1162
1163,1163
1164,1164
1166,1166
1167,1167
1168,1168
1170,1170
1171,1171
1172,1172
1173,1173
1174,1174
1175,1175
1176,1176
1177,1177
1178,1178
1179,1179
118,118
1180,1180
1181,1181
1182,1182
1183,937
1184,1184
1185,575
1186,705
1187,1187
1188,1188
