Bus,busmap
10,TR0 12
1000,TR0 40
1001,TR0 40
1002,TR0 11
1007,TR0 23
1008,TR0 39
101,TR0 20
1010,TR0 34
1012,TR0 1
1013,TR0 1
1014,TR0 30
1015,TR0 19
1016,TR0 16
1017,TR0 28
1018,TR0 26
1019,TR0 26
102,TR0 18
1020,TR0 44
1022,TR0 2
1023,TR0 24
1024,TR0 40
1026,TR0 25
1027,TR0 25
1028,TR0 46
103,TR0 48
1030,TR0 2
1031,TR0 21
1033,TR0 21
1037,TR0 21
1038,TR0 1
1039,TR0 1
1042,TR0 35
1043,TR0 29
1044,TR0 29
1046,TR0 10
1048,TR0 12
1049,TR0 8
1050,TR0 16
1051,TR0 37
1052,TR0 16
1053,TR0 18
1055,TR0 43
1056,TR0 43
1057,TR0 15
106,TR0 41
1061,TR0 13
1062,TR0 5
1063,TR0 5
1065,TR0 35
1066,TR0 35
1067,TR0 35
1068,TR0 1
1069,TR0 40
1071,TR0 11
1073,TR0 40
1074,TR0 8
1075,TR0 18
1076,TR0 18
1079,TR0 48
108,TR0 43
1081,TR0 23
1082,TR0 39
1083,TR0 4
1084,TR0 4
1085,TR0 4
1087,TR0 4
1088,TR0 4
1089,TR0 4
1091,TR0 4
1094,TR0 26
1095,TR0 26
1097,TR0 27
1098,TR0 39
1099,TR0 47
110,TR0 10
1100,TR0 44
1101,TR0 15
1102,TR0 27
1103,TR0 16
1104,TR0 16
1105,TR0 13
1106,TR0 18
1107,TR0 18
1108,TR0 20
1109,TR0 30
1111,TR0 6
1112,TR0 41
1115,TR0 11
1117,TR0 21
1118,TR0 12
1119,TR0 11
1120,TR0 48
1121,TR0 41
1123,TR0 2
1124,TR0 24
1125,TR0 2
1126,TR0 24
1128,TR0 31
1129,TR0 8
1130,TR0 28
1131,TR0 28
1132,TR0 13
1133,TR0 13
1134,TR0 11
1136,TR0 26
1138,TR0 22
1140,TR0 17
1142,TR0 38
1144,TR0 14
1146,TR0 13
1147,TR0 20
1148,TR0 39
1149,TR0 39
115,TR0 5
1151,TR0 38
1152,TR0 38
1153,TR0 38
1157,TR0 34
1158,TR0 34
1160,TR0 34
1162,TR0 34
1163,TR0 19
1164,TR0 5
1166,TR0 5
1167,TR0 28
1168,TR0 31
1170,TR0 27
1171,TR0 11
1172,TR0 16
1173,TR0 36
1174,TR0 12
1175,TR0 12
1176,TR0 12
1177,TR0 24
1178,TR0 24
1179,TR0 11
118,TR0 8
1180,TR0 31
1181,TR0 31
1182,TR0 31
1184,TR0 11
1187,TR0 44
1188,TR0 25
1189,TR0 25
119,TR0 15
1190,TR0 13
1191,TR0 13
1192,TR0 25
1193,TR0 25
1194,TR0 46
1195,TR0 46
1196,TR0 17
1197,TR0 41
12,TR0 33
1200,TR0 43
1201,TR0 4
1202,TR0 44
1203,TR0 39
1204,TR0 47
1206,TR0 20
1207,TR0 15
1208,TR0 37
1209,TR0 14
1210,TR0 14
1211,TR0 23
1212,TR0 39
1213,TR0 39
1215,TR0 17
1216,TR0 44
1217,TR0 44
1222,TR0 32
1223,TR0 32
1224,TR0 32
