,id,Type,Region,tags.generator:method,power_output_MW,tags.generator:source,tags.generator:type,tags.power,tags.source,name,tags.alt_name,other_tags,geometry,Country
1,176009143,area,TR,combined_cycle,770.0,gas,NULL,generator,http://en.bayenerji.com/about_us/baymina_enerji.aspx,NULL,NULL,"{ ""tags.start_date"": ""05-02-2004"" }","POLYGON ((32.4031964000002 39.77775030000022, 32.4029449000002 39.77741720000022, 32.4026097000002 39.77756670000022, 32.4025145000002 39.77744070000022, 32.4021472000002 39.77760450000022, 32.4022321000002 39.77771700000022, 32.4019405000002 39.77784700000022, 32.4022023000002 39.778193600000215, 32.4031964000002 39.77775030000022))",TR
16,371966801,area,TR,combustion,135.0,coal,steam_turbine,generator,NULL,Ceytaş Termik Santrali,NULL,"{ ""tags.building"": ""industrial"", ""tags.operator"": ""Silopi Elektrik Üretim Anonim Şirketi"" }","POLYGON ((42.5965418 37.31231570000016, 42.5962455 37.31199660000016, 42.5978634 37.310921200000166, 42.5981872 37.31129380000016, 42.5965418 37.31231570000016))",TR
17,371966802,area,TR,combustion,135.0,coal,steam_turbine,generator,NULL,NULL,NULL,"{ ""tags.building"": ""industrial"" }","POLYGON ((42.59382570000001 37.311059700000165, 42.593514 37.310723700000175, 42.5946319 37.31006740000017, 42.5949437 37.310403400000176, 42.59382570000001 37.311059700000165))",TR
18,395545450,area,TR,NULL,15.0,geothermal,NULL,generator,NULL,Kızıldere (Zorlu) JES,NULL,"{ ""tags.building"": ""yes"", ""tags.operator"": ""Zorlu Enerji"", ""tags.addr:city"": ""Sarayköy\/Denizli"" }","POLYGON ((28.843723199999967 37.95704280000002, 28.84333169999997 37.956777200000026, 28.843225399999966 37.95687460000002, 28.84361689999997 37.95714020000002, 28.843723199999967 37.95704280000002))",TR
29,416943310,area,TR,photovoltaic,2.0,solar,solar_photovoltaic_panel,generator,bing,YAYLA Agro Gıda,NULL,"{ ""tags.ref"": ""GMC"" }","POLYGON ((32.63330120000008 40.048665300000046, 32.63396130000008 40.04899980000005, 32.634333100000084 40.048569800000045, 32.633673 40.048235300000044, 32.63330120000008 40.048665300000046))",TR
55,475229779,area,TR,photovoltaic,0.0,solar,solar_photovoltaic_panel,generator,NULL,Dicle Üniversitesi Güneş Enerjisi Santrali,NULL,NULL,"POLYGON ((40.277487899999805 37.91489920000016, 40.277450799999805 37.914822400000155, 40.2779095999998 37.914684500000156, 40.2782766999998 37.91544490000015, 40.2779551999998 37.91554150000015, 40.277625299999805 37.91485790000015, 40.277487899999805 37.91489920000016))",TR
66,476063692,area,TR,photovoltaic,1.0,solar,solar_photovoltaic_panel,generator,NULL,Güneş Enerjisi Elektrik Üretim Santrali,NULL,"{ ""tags.operator"": ""ASTÜRK Enerji GES-1"" }","POLYGON ((29.5645432 37.861443800000124, 29.5646151 37.86115220000013, 29.564675 37.860898399999975, 29.56611560000003 37.86111349999998, 29.5668726 37.86127080000013, 29.5664929 37.86177240000013, 29.565512700000028 37.86158269999998, 29.5645432 37.861443800000124))",TR
69,476063695,area,TR,photovoltaic,1.0,solar,solar_photovoltaic_panel,generator,NULL,Güneş Enerjisi Elektrik Üretim Santrali,NULL,"{ ""tags.operator"": ""ASTÜRK Enerji GES-3"" }","POLYGON ((29.5811093 37.86616680000014, 29.581187300000025 37.8657452999999, 29.5806163 37.86481590000014, 29.5803746 37.86447140000014, 29.5800728 37.863668500000145, 29.580435 37.86378240000015, 29.5809251 37.86396790000015, 29.581022400000027 37.864255, 29.581168600000026 37.8645548999999, 29.581295600000026 37.8647552999999, 29.581627 37.86517250000015, 29.581639400000025 37.8653327999999, 29.5819693 37.86581720000015, 29.5811093 37.86616680000014))",TR
70,476063696,area,TR,photovoltaic,1.0,solar,solar_photovoltaic_panel,generator,NULL,Güneş Enerji Elektrik Üretim Santrali,NULL,"{ ""tags.operator"": ""ASTÜRK Enerji GES-2"" }","POLYGON ((29.5705287 37.85101650000015, 29.5686684 37.85022290000015, 29.5687049 37.85006920000015, 29.56899 37.85011529999998, 29.5700612 37.85034580000015, 29.5703627 37.850088400000146, 29.57086510000003 37.850363, 29.57124 37.85057620000015, 29.5716018 37.850408800000146, 29.5724004 37.851290900000144, 29.572160900000032 37.851352399999975, 29.571787 37.851290900000144, 29.5714799 37.85109910000014, 29.5709298 37.850995400000144, 29.5705287 37.85101650000015))",TR
82,476127452,area,TR,photovoltaic,0.0,solar,solar_photovoltaic_panel,generator,NULL,Karamanoğlu Mehmet Bey Üniv. Güneş Enerjisi Santrali,NULL,"{ ""tags.operator"": ""Karamanoğlu Mehmet Bey Üniversitesi"", ""tags.addr:city"": ""Karaman"" }","POLYGON ((33.25596260000006 37.169510800000204, 33.25598510000006 37.16847440000021, 33.25752710000006 37.16845500000021, 33.25749919999992 37.169036699999786, 33.25740480000006 37.16947000000021, 33.25596260000006 37.169510800000204))",TR
