,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
0,Sir,Hydro,Reservoir,PP,TR,284.0,,,0.0,0.0,0.0,1991.0,1991.0,2091.0,37.5008,36.5959,{nan},"{'GHPT': {'G603702'}, 'GEO': {'GEO-43092'}, 'GPD': {'WRI1018953'}}",1168
1,Muratli Artvin,Hydro,Reservoir,PP,TR,115.0,,,0.0,0.0,0.0,2005.0,2005.0,2105.0,41.4674,41.7146,{nan},"{'GHPT': {'G603690'}, 'GEO': {'GEO-43107'}, 'GPD': {'WRI1018947'}}",1378
2,Batman,Hydro,Reservoir,PP,TR,198.0,,,0.0,0.0,0.0,2000.0,2000.0,2100.0,38.1598,41.2025,{nan},"{'GHPT': {'G603632'}, 'GEO': {'GEO-43098'}, 'GPD': {'WRI1018918'}}",546
3,Berke,Hydro,Reservoir,PP,TR,510.0,,,0.0,0.0,0.0,2001.0,2001.0,2101.0,37.3726,36.4617,{nan},"{'GHPT': {'G603634'}, 'GEO': {'GEO-43094'}, 'GPD': {'WRI1018919'}}",730
4,Birecik,Hydro,Reservoir,PP,TR,672.0,,,0.0,0.0,0.0,2000.0,2000.0,2100.0,37.0525,37.8889,{nan},"{'GHPT': {'G603637'}, 'GEO': {'GEO-42978'}, 'GPD': {'WRI1018921'}}",372
5,Borcka,Hydro,Reservoir,PP,TR,301.0,,,0.0,0.0,0.0,2006.0,2006.0,2106.0,41.352,41.6876,{nan},"{'GHPT': {'G603638'}, 'GEO': {'GEO-43102'}, 'GPD': {'WRI1018922'}}",645
6,Catalan,Hydro,Reservoir,PP,TR,169.0,,,0.0,0.0,0.0,1997.0,1997.0,2097.0,37.1983,35.2825,{nan},"{'GHPT': {'G603641'}, 'GEO': {'GEO-43101'}, 'GPD': {'WRI1018925'}}",852
7,Dicle,Hydro,Reservoir,PP,TR,110.0,,,0.0,0.0,0.0,1997.0,1997.0,2097.0,38.2308,40.1766,{nan},"{'GHPT': {'G603650'}, 'GEO': {'GEO-42980'}, 'GPD': {'WRI1018928'}}",1150
8,Gezende,Hydro,Reservoir,PP,TR,159.0,,,0.0,0.0,0.0,1990.0,1990.0,2090.0,36.5285,33.1943,{nan},"{'GHPT': {'G603656'}, 'GEO': {'GEO-43097'}, 'GPD': {'WRI1018929'}}",49
9,Gokcekaya,Hydro,Reservoir,PP,TR,278.0,,,0.0,0.0,0.0,1972.0,1972.0,2072.0,40.0333,31.0171,{nan},"{'GHPT': {'G603657'}, 'GEO': {'GEO-42981'}, 'GPD': {'WRI1018930'}}",261
10,Hirfanli,Hydro,Reservoir,PP,TR,128.0,,,0.0,0.0,0.0,1959.0,1959.0,2059.0,39.2731,33.5184,{nan},"{'GHPT': {'G603664'}, 'GEO': {'GEO-43100'}, 'GPD': {'WRI1018933'}}",542
11,Karakaya,Hydro,Reservoir,PP,TR,1800.0,,,0.0,0.0,0.0,1987.0,1987.0,2087.0,38.2264,39.1353,{nan},"{'GHPT': {'G603668'}, 'GEO': {'GEO-42979'}, 'GPD': {'WRI1018937'}}",800
12,Karkamis,Hydro,Reservoir,PP,TR,189.0,,,0.0,0.0,0.0,1999.0,1999.0,2099.0,36.8697,38.0307,{nan},"{'GHPT': {'G603673'}, 'GEO': {'GEO-43096'}, 'GPD': {'WRI1018938'}}",377
13,Keban,Hydro,Reservoir,PP,TR,1330.0,,,0.0,0.0,0.0,1974.0,1974.0,2074.0,38.8055,38.7591,{nan},"{'GHPT': {'G603676'}, 'GEO': {'GEO-42977'}, 'GPD': {'WRI1018939'}}",1653
14,Kilickaya,Hydro,Reservoir,PP,TR,120.0,,,0.0,0.0,0.0,1990.0,1990.0,2090.0,40.242,38.1859,{nan},"{'GHPT': {'G603679'}, 'GEO': {'GEO-43099'}, 'GPD': {'WRI1018941'}}",1704
15,Menzelet,Hydro,Reservoir,PP,TR,124.0,,,0.0,0.0,0.0,1980.0,1980.0,2080.0,37.6741,36.8491,{nan},"{'GHPT': {'G603689'}, 'GEO': {'GEO-43093'}, 'GPD': {'WRI1018946'}}",1641
16,Obruk,Hydro,Reservoir,PP,TR,211.0,,,0.0,0.0,0.0,2009.0,2009.0,2109.0,40.7702,34.7913,{nan},"{'GHPT': {'G603691'}, 'GEO': {'GEO-43106'}, 'GPD': {'WRI1018948'}}",844
17,Baymina Ankara,CCGT,CCGT,PP,TR,770.0,,,0.0,0.0,0.0,2004.0,2004.0,2044.0,39.7773,32.4022,{nan},"{'GGPT': {'L100000405896'}, 'GEO': {'GEO-43111'}, 'GPD': {'WRI1018761'}}",431
18,Oymapinar,Hydro,Reservoir,PP,TR,540.0,,,0.0,0.0,0.0,1984.0,1984.0,2084.0,36.9086,31.5321,{nan},"{'GHPT': {'G603692'}, 'GEO': {'GEO-43084'}, 'GPD': {'WRI1018949'}}",270
19,Ozluce,Hydro,Reservoir,PP,TR,170.0,,,0.0,0.0,0.0,1999.0,1999.0,2099.0,39.1297,40.0878,{nan},"{'GHPT': {'G603693'}, 'GEO': {'GEO-42983'}, 'GPD': {'WRI1018950'}}",107
20,Sariyar Polatkan,Hydro,Reservoir,PP,TR,160.0,,,0.0,0.0,0.0,1956.0,1956.0,2056.0,40.0401,31.4144,{nan},"{'GHPT': {'G603699'}, 'GEO': {'GEO-42982'}, 'GPD': {'WRI1018952'}}",1224
21,Enka Izmir,CCGT,CCGT,PP,TR,1580.0,,,0.0,0.0,0.0,2003.0,2003.0,2043.0,38.7467,26.9563,"{nan, nan}","{'GGPT': {'L100000405909'}, 'GEO': {'GEO-43062'}, 'GPD': {'WRI1018750'}}",176
